Rank	Company	Revenues	Revenue Percentage Change	Profits	Assets	Profits Percentage Change	Employees	Rank Change	Fortune Url	Country	Sector	Industry	CEO	HQ Location	Company Website
116	Sony	"$78,157.70 "	1.40%	"$8,264.00 "	"$189,586.90 "	86.60%	"114,400"	-19	https://fortune.com/global500/2019/sony	Japan	Technology	"Electronics, Electrical Equip."	Kenichiro Yoshida	Tokyo	https://www.sony.net
117	Indian Oil	"$77,587.00 "	17.70%	"$2,484.70 "	"$48,385.60 "	-27.80%	"35,442"	20	https://fortune.com/global500/2019/indian-oil	India	Energy	Petroleum Refining	Sanjiv Singh	New Delhi	https://www.iocl.com
118	AEON	"$77,122.50 "	2.40%	$214 	"$90,293.60 "	-2.80%	"288,326"	-15	https://fortune.com/global500/2019/aeon	Japan	Food & Drug Stores	Food and Drug Stores	Motoya Okada	"Chiba, Japan"	https://www.aeon.info
119	Amer International Group	"$76,363.10 "	4.90%	"$1,483.00 "	"$21,240.60 "	-4.10%	"16,901"	-8	https://fortune.com/global500/2019/amer-international-group	China	Materials	Metals	Wang Wenyin	"Shenzhen, China"	https://www.amer.com.cn
120	ArcelorMittal	"$76,033.00 "	10.70%	"$5,149.00 "	"$91,249.00 "	12.70%	"208,583"	7	https://fortune.com/global500/2019/arcelormittal	Luxembourg	Materials	Metals	Lakshmi N. Mittal	Luxembourg	https://www.arcelormittal.com
121	People's Insurance Co. of China	"$75,377.30 "	5.30%	"$1,952.00 "	"$150,259.30 "	-18.10%	"198,457"	-4	https://fortune.com/global500/2019/peoples-insurance-co-of-china	China	Financials	Insurance: Property and Casualty (Stock)	Miao Jianmin	Beijing	https://www.picc.com.cn
122	Target	"$75,356.00 "	4.80%	"$2,937.00 "	"$41,290.00 "	0.10%	"360,000"	-6	https://fortune.com/global500/2019/target	U.S.	Retailing	General Merchandisers	Brian C. Cornell	Minneapolis	https://www.target.com
123	Airbus	"$75,185.00 "	-0.10%	"$3,604.20 "	"$131,671.30 "	11.30%	"133,671"	-18	https://fortune.com/global500/2019/airbus-group	Netherlands	Aerospace & Defense	Aerospace and Defense	Guillaume Faury	"Leiden, Netherlands"	https://www.airbus.com
124	Deutsche Post DHL Group	"$75,000.90 "	6.30%	"$2,448.80 "	"$57,687.20 "	-19.90%	"499,018"	-5	https://fortune.com/global500/2019/deutsche-post-dhl-group	Germany	Transportation	"Mail, Package, and Freight Delivery"	Frank Appel	"Bonn, Germany"	https://www.dpdhl.com
125	Nippon Life Insurance	"$74,202.30 "	8%	"$2,514.50 "	"$712,112.70 "	14.20%	"89,198"	1	https://fortune.com/global500/2019/nippon-life-insurance	Japan	Financials	"Insurance: Life, Health (Mutual)"	Hiroshi Shimizu	"Osaka, Japan"	https://www.nissay.co.jp
126	Engie	"$74,144.10 "	-1.50%	"$1,219.10 "	"$175,681.40 "	-24%	"160,301"	-22	https://fortune.com/global500/2019/engie	France	Energy	Energy	Isabelle Kocher	"Courbevoie, France"	https://www.engie.com
127	Royal Ahold Delhaize	"$74,103.90 "	4.50%	"$2,116.00 "	"$38,097.30 "	3.30%	"225,000"	-9	https://fortune.com/global500/2019/royal-ahold-delhaize	Netherlands	Food & Drug Stores	Food and Drug Stores	Frans Muller	"Zaandam, Netherlands"	https://www.aholddelhaize.com
128	Freddie Mac	"$73,598.00 "	-1.40%	"$9,235.00 "	"$2,063,060.00 "	64.20%	"6,621"	-22	https://fortune.com/global500/2019/freddie-mac	U.S.	Financials	Diversified Financials	David M. Brickman	"McLean, Va."	https://www.freddiemac.com
129	Beijing Automotive Group	"$72,677.40 "	4.40%	"$1,097.70 "	"$66,789.50 "	-29.40%	"127,163"	-5	https://fortune.com/global500/2019/beijing-automotive-group	China	Motor Vehicles & Parts	Motor Vehicles and Parts	Xu Heyi	Beijing	https://www.baicgroup.com.cn
130	PTT	"$72,307.20 "	22.90%	"$3,704.40 "	"$72,348.40 "	-7%	"26,613"	33	https://fortune.com/global500/2019/ptt	Thailand	Energy	Petroleum Refining	Chansin Treenuchagron	Bangkok	https://www.pttplc.com
131	Panasonic	"$72,178.40 "	0.20%	"$2,562.80 "	"$54,341.10 "	20.30%	"271,869"	-17	https://fortune.com/global500/2019/panasonic	Japan	Technology	"Electronics, Electrical Equip."	Kazuhiro Tsuga	"Osaka, Japan"	https://www.panasonic.com/global
132	United Parcel Service	"$71,861.00 "	9.10%	"$4,791.00 "	"$50,016.00 "	-2.40%	"364,575"	6	https://fortune.com/global500/2019/ups	U.S.	Transportation	"Mail, Package, and Freight Delivery"	David P. Abney	Atlanta	https://www.ups.com
133	Lowe's	"$71,309.00 "	3.90%	"$2,314.00 "	"$34,508.00 "	-32.90%	"245,000"	-5	https://fortune.com/global500/2019/lowes	U.S.	Retailing	Specialty Retailers	Marvin R. Ellison	"Mooresville, N.C."	https://www.lowes.com
134	COFCO	"$71,223.30 "	2.20%	$337.80 	"$81,657.40 "	-14.20%	"117,842"	-12	https://fortune.com/global500/2019/cofco	China	Wholesalers	Trading	Yu Xubo	Beijing	https://www.cofco.com
135	Intel	"$70,848.00 "	12.90%	"$21,053.00 "	"$127,963.00 "	119.30%	"107,400"	11	https://fortune.com/global500/2019/intel	U.S.	Technology	Semiconductors and Other Electronic Components	Robert H. Swan	"Santa Clara, Calif."	https://www.intel.com
136	U.S. Postal Service	"$70,660.00 "	1.50%	"($3,913.00)"	"$26,688.00 "	-	"565,802"	-13	https://fortune.com/global500/2019/u-s-postal-service	U.S.	Transportation	"Mail, Package, and Freight Delivery"	Megan J. Brennan	Washington DC	https://www.usps.com
137	CITIC Group	"$70,659.00 "	15.20%	"$4,566.00 "	"$986,297.00 "	41.60%	"287,500"	12	https://fortune.com/global500/2019/citic-group	China	Financials	Diversified Financials	Chang Zhenming	Beijing	https://www.group.citic
138	China Evergrande Group	"$70,478.90 "	53.20%	"$5,652.60 "	"$273,829.00 "	56.80%	"131,694"	92	https://fortune.com/global500/2019/china-evergrande-group	China	Financials	Real estate	Hui Ka Yan	"Shenzen, China"	https://www.evergrande.com
139	JD.com	"$69,847.60 "	29.40%	($376.70)	"$30,465.20 "	-	"178,927"	42	https://fortune.com/global500/2019/jd-com	China	Retailing	Internet Services and Retailing	Richard Qiangdong Liu	Beijing	https://www.jd.com
