Rank	Company	Revenues	Revenue Percentage Change	Profits	Assets	Profits Percentage Change	Employees	Rank Change	Fortune Url	Country	Sector	Industry	CEO	HQ Location	Company Website
353	Lloyds Banking Group	"$35,251.90 "	-32.80%	"$5,737.90 "	"$1,015,661.30 "	17.10%	"64,928"	-164	https://fortune.com/global500/2019/lloyds-banking-group	Britain	Financials	Banks: Commercial and Savings	Ant?nio Horta-Os?rio	London	https://www.lloydsbankinggroup.com
354	Idemitsu Kosan	"$35,091.00 "	18.50%	$734.60 	"$26,116.40 "	-49.90%	"9,476"	44	https://fortune.com/global500/2019/idemitsu-kosan	Japan	Energy	Petroleum Refining	Shunichi Kito	Tokyo	https://www.idemitsu.com
355	Poste Italiane	"$35,071.10 "	-7%	"$1,651.10 "	"$238,753.30 "	112.60%	"132,388"	-51	https://fortune.com/global500/2019/poste-italiane	Italy	Financials	"Insurance: Life, Health (stock)"	Matteo Del Fante	Rome	https://www.posteitaliane.it
356	JFE Holdings	"$34,937.40 "	6.70%	"$1,474.70 "	"$42,551.70 "	67.30%	"62,083"	2	https://fortune.com/global500/2019/jfe-holdings	Japan	Materials	Metals	Koji Kakigi	Tokyo	https://www.jfe-holdings.co.jp
357	Suzuki Motor	"$34,917.90 "	3%	"$1,612.30 "	"$30,739.80 "	-17.20%	"67,721"	-9	https://fortune.com/global500/2019/suzuki-motor	Japan	Motor Vehicles & Parts	Motor Vehicles and Parts	Toshihiro Suzuki	"Hamamatsu, Japan"	https://www.globalsuzuki.com
358	Jiangxi Copper	"$34,870.00 "	9.10%	$131.40 	"$18,618.30 "	15.80%	"23,194"	12	https://fortune.com/global500/2019/jiangxi-copper	China	Materials	Metals	Long Ziping	"Guixi, China"	https://www.jxcc.com
359	CRRC Group	"$34,673.00 "	8%	$486.60 	"$58,038.30 "	-28.70%	"187,959"	-	https://fortune.com/global500/2019/crrc-group	China	Industrials	Industrial Machinery	Sun Yongcai	Beijing	https://www.crrcgc.cc
360	Credit Suisse Group	"$34,284.20 "	7.50%	"$2,069.90 "	"$780,308.50 "	-	"45,680"	13	https://fortune.com/global500/2019/credit-suisse-group	Switzerland	Financials	Banks: Commercial and Savings	Tidjane Thiam	Zurich	https://www.credit-suisse.com
361	Tsingshan Holding Group	"$34,242.20 "	43.20%	$578.60 	"$8,522.60 "	50.70%	"56,088"	-	https://fortune.com/global500/2019/tsingshan-holding-group	China	Materials	Metals	Sun Jianfen	"Wenzhou, China"	https://www.tssgroup.com.cn
362	State Power Investment	"$34,229.20 "	15.10%	$170.70 	"$157,347.60 "	-14%	"124,678"	33	https://fortune.com/global500/2019/state-power-investment	China	Energy	Energy	Qian Zhimin	Beijing	https://www.spic.com.cn
363	Taiwan Semiconductor Manufacturing	"$34,218.20 "	6.50%	"$12,043.90 "	"$67,999.50 "	6.20%	"48,752"	5	https://fortune.com/global500/2019/taiwan-semiconductor-manufacturing	Taiwan	Technology	Semiconductors and Other Electronic Components	C.C. Wei	"Hsinchu, Taiwan"	https://www.tsmc.com
364	China Energy Engineering Group	"$34,176.50 "	-2.50%	$432.60 	"$57,758.70 "	16.40%	"129,929"	-31	https://fortune.com/global500/2019/china-energy-engineering-group	China	Engineering & Construction	"Engineering, Construction"	Wang Jianping	Beijing	https://www.ceec.net.cn
365	Quanta Computer	"$34,102.60 "	1.60%	$501.50 	"$21,455.90 "	6.20%	"112,421"	-11	https://fortune.com/global500/2019/quanta-computer	Taiwan	Technology	"Computers, Office Equipment"	Barry Lam	"Taoyuan, Taiwan"	https://www.quantatw.com
366	Plains GP Holdings	"$34,055.00 "	29.90%	$334 	"$26,830.00 "	-	"4,900"	86	https://fortune.com/global500/2019/plains-gp-holdings	U.S.	Energy	Pipelines	Wilfred C.W. Chiang	Houston	https://www.plainsallamerican.com
367	China South Industries Group	"$33,895.80 "	-24.30%	$268.10 	"$48,455.20 "	-63.70%	"198,932"	-125	https://fortune.com/global500/2019/china-south-industries-group	China	Aerospace & Defense	Aerospace and Defense	Gong Yande	Beijing	https://www.csgc.com.cn
368	Yango Longking Group	"$33,394.80 "	30.40%	$613.60 	"$51,585.30 "	35.60%	"21,849"	96	https://fortune.com/global500/2019/yango-financial-holding	China	Financials	Diversified Financials	Lin Tengjiao	"Fuzhou, China"	https://www.yangholdings.com
369	Jinchuan Group	"$33,391.60 "	4%	$234 	"$16,925.30 "	90%	"27,594"	-	https://fortune.com/global500/2019/jinchuan-group	China	Materials	Metals	Wang Yongqian	"Jinchang City, China"	https://www.jnmc.com
370	China Electronics Technology Group	"$33,323.80 "	10.40%	"$1,755.20 "	"$51,672.90 "	-1.10%	"179,636"	18	https://fortune.com/global500/2019/china-electronics-technology-group	China	Aerospace & Defense	Aerospace and Defense	Xiong Qun Li	Beijing	https://www.cetc.com.cn
371	Toshiba	"$33,312.80 "	-6.50%	"$9,138.80 "	"$38,830.30 "	25.90%	"128,697"	-45	https://fortune.com/global500/2019/toshiba	Japan	Technology	"Electronics, Electrical Equip."	Nobuaki Kurumatani	Tokyo	https://www.toshiba.co.jp
372	Prudential	"$33,252.60 "	-70.20%	"$4,014.70 "	"$647,708.50 "	30.50%	"23,792"	-322	https://fortune.com/global500/2019/prudential	Britain	Financials	"Insurance: Life, Health (stock)"	Michael A. Wells	London	https://www.prudential.co.uk
373	Commonwealth Bank of Australia	"$33,186.30 "	-2.10%	"$7,228.00 "	"$720,354.40 "	-3.40%	"45,753"	-24	https://fortune.com/global500/2019/commonwealth-bank-of-australia	Australia	Financials	Banks: Commercial and Savings	Matthew Comyn	Sydney	https://www.commbank.com.au
374	Bridgestone	"$33,062.90 "	1.70%	"$2,641.70 "	"$35,220.60 "	2.70%	"143,509"	-9	https://fortune.com/global500/2019/bridgestone	Japan	Motor Vehicles & Parts	Motor Vehicles and Parts	Masaaki Tsuya	Tokyo	https://www.bridgestone.com
375	China Electronics	"$33,055.70 "	3.30%	$350.30 	"$40,323.20 "	110%	"135,297"	-6	https://fortune.com/global500/2019/china-electronics	China	Technology	"Electronics, Electrical Equip."	Rui Xiaowu	Beijing	https://www.cec.com.cn
376	GS Caltex	"$33,052.70 "	23.20%	$639.50 	"$17,531.20 "	-49.70%	"3,212"	62	https://fortune.com/global500/2019/gs-caltex	South Korea	Energy	Petroleum Refining	Sae-Hong Huh	Seoul	https://www.gscaltex.com
377	Sompo Holdings	"$32,857.40 "	-3.40%	"$1,322.50 "	"$108,595.40 "	4.80%	"49,837"	-30	https://fortune.com/global500/2019/sompo-holdings	Japan	Financials	Insurance: Property and Casualty (Stock)	Kengo Sakurada	Tokyo	https://www.sompo-hd.com
378	Sumitomo Life Insurance	"$32,825.00 "	-2.90%	$435.30 	"$341,659.60 "	-30.90%	"42,848"	-28	https://fortune.com/global500/2019/sumitomo-life-insurance	Japan	Financials	"Insurance: Life, Health (Mutual)"	Masahiro Hashimoto	"Osaka, Japan"	https://www.sumitomolife.co.jp
379	Schlumberger	"$32,815.00 "	7.80%	"$2,138.00 "	"$70,507.00 "	-	"100,000"	7	https://fortune.com/global500/2019/schlumberger	U.S.	Energy	"Oil and Gas Equipment, Services"	Olivier Le Peuch	Houston	https://www.slb.com
380	3M	"$32,765.00 "	3.50%	"$5,349.00 "	"$36,500.00 "	10.10%	"93,516"	-4	https://fortune.com/global500/2019/3m	U.S.	Industrials	Miscellaneous	Michael F. Roman	"St. Paul, Minn."	https://www.3m.com
381	AbbVie	"$32,753.00 "	16.10%	"$5,687.00 "	"$59,352.00 "	7.10%	"30,000"	41	https://fortune.com/global500/2019/abbvie	U.S.	Health Care	Pharmaceuticals	Richard A. Gonzalez	"North Chicago, Ill."	https://www.abbvie.com
382	Chubb	"$32,717.00 "	1.50%	"$3,962.00 "	"$167,771.00 "	2.60%	"32,700"	-16	https://fortune.com/global500/2019/chubb	Switzerland	Financials	Insurance: Property and Casualty (Stock)	Evan G. Greenberg	Zurich	https://www.chubb.com
383	CHS	"$32,683.30 "	2%	$775.90 	"$16,381.20 "	983.80%	"10,495"	-11	https://fortune.com/global500/2019/chs	U.S.	"Food, Beverages & Tobacco"	Food Production	Jay D. Debertin	"Inver Grove Heights, Minn."	https://www.chsinc.com
384	British American Tobacco	"$32,667.00 "	25%	"$8,045.40 "	"$186,351.90 "	-83.40%	"63,877"	69	https://fortune.com/global500/2019/british-american-tobacco	Britain	"Food, Beverages & Tobacco"	Tobacco	Jack Bowles	London	https://www.bat.com
385	Ansteel Group	"$32,619.40 "	17.40%	($254.50)	"$49,469.60 "	-516.60%	"136,319"	43	https://fortune.com/global500/2019/ansteel-group	China	Materials	Metals	Yao Lin	"Anshan, China"	https://www.ansteel.cn
386	China Huadian	"$32,421.40 "	9.50%	$464.40 	"$118,796.50 "	39.30%	"97,629"	11	https://fortune.com/global500/2019/china-huadian	China	Energy	Utilities	Wen Shugang	Beijing	https://www.chd.com.cn
387	Capital One Financial	"$32,377.00 "	7.90%	"$6,015.00 "	"$372,538.00 "	203.50%	"47,600"	4	https://fortune.com/global500/2019/capital-one-financial	U.S.	Financials	Banks: Commercial and Savings	Richard D. Fairbank	"McLean, Va."	https://www.capitalone.com
388	AIA Group	"$32,369.00 "	-18.80%	"$2,597.00 "	"$229,806.00 "	-60%	"22,000"	-93	https://fortune.com/global500/2019/aia-group	China	Financials	"Insurance: Life, Health (stock)"	Ng Keng Hooi	Hong Kong	https://www.aia.com
389	Mazda Motor	"$32,150.80 "	2.50%	$572.50 	"$25,942.20 "	-43.40%	"49,998"	-11	https://fortune.com/global500/2019/mazda-motor	Japan	Motor Vehicles & Parts	Motor Vehicles and Parts	Akira Marumoto	Hiroshima	https://www.mazda.com
390	Compal Electronics	"$32,102.80 "	10%	$295.70 	"$13,007.40 "	56.50%	"82,374"	14	https://fortune.com/global500/2019/compal-electronics	Taiwan	Technology	"Computers, Office Equipment"	Martin Wong	Taipei	https://www.compal.com
391	Progressive	"$31,979.00 "	19.20%	"$2,615.30 "	"$46,575.00 "	64.30%	"37,346"	46	https://fortune.com/global500/2019/progressive	U.S.	Financials	Insurance: Property and Casualty (Stock)	Susan Patricia Griffith	"Mayfield Village, Ohio"	https://www.progressive.com
392	DZ Bank	"$31,975.50 "	-4.70%	$972.50 	"$592,911.80 "	-9.90%	"28,682"	-37	https://fortune.com/global500/2019/dz-bank	Germany	Financials	Banks: Commercial and Savings	Cornelius Riese /Uwe Fr_hlich	Frankfurt	https://www.dzbank.com
393	Hyundai Mobis	"$31,949.40 "	2.80%	"$1,716.90 "	"$38,604.60 "	23.80%	"34,782"	-13	https://fortune.com/global500/2019/hyundai-mobis	South Korea	Motor Vehicles & Parts	Motor Vehicles and Parts	Chung-Kook Park	Seoul	https://www.mobis.co.kr
394	CPC	"$31,928.90 "	17.80%	"$1,137.60 "	"$25,035.70 "	-14.10%	"15,712"	42	https://fortune.com/global500/2019/cpc	Taiwan	Energy	Petroleum Refining	Shun-Chin Lee	"Kaohsiung , Taiwan"	https://www.cpc.com.tw
395	Coca-Cola	"$31,856.00 "	-10%	"$6,434.00 "	"$83,216.00 "	415.50%	"62,600"	-67	https://fortune.com/global500/2019/coca-cola	U.S.	"Food, Beverages & Tobacco"	Beverages	James R. Quincey	Atlanta	https://www.coca-colacompany.com
396	L'Oréal	"$31,790.70 "	6.20%	"$4,597.20 "	"$43,956.90 "	13.90%	"86,030"	-4	https://fortune.com/global500/2019/loreal	France	Household Products	Household and Personal Products	Jean-Paul Agon	"Clichy, France"	https://www.loreal.com
397	CRH	"$31,625.00 "	1.80%	"$2,970.50 "	"$40,202.70 "	39.10%	"89,831"	-15	https://fortune.com/global500/2019/crh	Ireland	Materials	"Building Materials, Glass"	Albert Manifold	Dublin	https://www.crh.com
398	Bank of Nova Scotia	"$31,589.30 "	14.60%	"$6,642.50 "	"$760,409.00 "	8.60%	"97,629"	32	https://fortune.com/global500/2019/bank-of-nova-scotia	Canada	Financials	Banks: Commercial and Savings	Brian J. Porter	"Toronto, Ontario, Canada"	https://www.scotiabank.com
399	Johnson Controls International	"$31,400.00 "	4.10%	"$2,162.00 "	"$48,797.00 "	34.20%	"122,000"	-10	https://fortune.com/global500/2019/johnson-controls-international	Ireland	Industrials	Industrial Machinery	George R. Oliver	"Cork, Ireland"	https://www.johnsoncontrols.com
400	USAA	"$31,367.80 "	4.50%	"$2,291.90 "	"$158,506.80 "	-5.40%	"33,689"	-10	https://fortune.com/global500/2019/usaa	U.S.	Financials	Insurance: Property and Casualty (Stock)	Stuart Parker	San Antonio	https://www.usaa.com
401	Air France-KLM Group	"$31,292.20 "	7.70%	$482.70 	"$33,212.20 "	-	"81,527"	5	https://fortune.com/global500/2019/air-france-klm-group	France	Transportation	Airlines	Benjamin M. Smith	Paris	https://www.airfranceklm.com
402	Shougang Group	"$31,103.80 "	13.20%	$84.20 	"$73,067.10 "	9568.30%	"108,086"	29	https://fortune.com/global500/2019/shougang-group	China	Materials	Metals	Zhang Gongyan	Beijing	https://www.shougang.com.cn
403	Compass Group	"$30,878.80 "	8.10%	"$1,512.70 "	"$16,443.50 "	2.90%	"595,841"	10	https://fortune.com/global500/2019/compass-group	Britain	Business Services	Food Services	Dominic Blakemore	"Chertsey, Britain"	https://www.compass-group.com
404	Hewlett Packard Enterprise	"$30,852.00 "	6.90%	"$1,908.00 "	"$55,493.00 "	454.70%	"60,000"	5	https://fortune.com/global500/2019/hewlett-packard-enterprise	U.S.	Technology	"Computers, Office Equipment"	Antonio Neri	"Palo Alto, Calif."	https://www.hpe.com
405	BT Group	"$30,743.00 "	-2.20%	"$2,833.10 "	"$60,302.70 "	5.20%	"106,700"	-28	https://fortune.com/global500/2019/bt-group	Britain	Telecommunications	Telecommunications	Philip Jansen	London	"https://www,btplc.com"
406	Inditex	"$30,686.70 "	6.20%	"$4,042.30 "	"$24,878.10 "	5.30%	"174,386"	2	https://fortune.com/global500/2019/inditex	Spain	Retailing	Specialty Retailers	Pablo Isla 脕lvarez de Tejera	"Arteixo, Spain"	https://www.inditex.com
407	Veolia Environnement	"$30,579.50 "	8%	$518.40 	"$42,968.60 "	14.50%	"170,819"	12	https://fortune.com/global500/2019/veolia-environnement	France	Energy	Utilities	Antoine Fr茅rot	"Aubervilliers, France"	https://www.veolia.com
408	Abbott Laboratories	"$30,578.00 "	11.60%	"$2,368.00 "	"$67,173.00 "	396.40%	"103,000"	25	https://fortune.com/global500/2019/abbott-laboratories	U.S.	Health Care	Medical Products and Equipment	Miles D. White	"Abbott Park, Ill."	https://www.abbott.com
409	Micron Technology	"$30,391.00 "	49.50%	"$14,135.00 "	"$43,376.00 "	177.80%	"36,000"	-	https://fortune.com/global500/2019/micron-technology	U.S.	Technology	Semiconductors and Other Electronic Components	Sanjay Mehrotra	"Boise, Idaho"	https://www.micron.com
410	PKN ORLEN Group	"$30,389.90 "	20.30%	"$1,539.10 "	"$17,079.20 "	-12.70%	"21,282"	59	https://fortune.com/global500/2019/pkn-orlen-group	Poland	Energy	Petroleum Refining	Daniel Obajtek	"Plock, Poland"	https://www.orlen.pl
411	Schneider Electric	"$30,353.90 "	8.80%	"$2,754.50 "	"$48,302.00 "	13.70%	"137,534"	13	https://fortune.com/global500/2019/schneider-electric	France	Industrials	"Electronics, Electrical Equip."	Jean-Pascal Tricoire	"Rueil-Malmaison, France"	https://www.schneider-electric.com
412	Phoenix Pharma	"$30,296.00 "	6.70%	($174.50)	"$9,599.50 "	-194.70%	"29,631"	5	https://fortune.com/global500/2019/phoenix-pharmahandel	Germany	Health Care	Wholesalers: Health Care	Oliver Windholz	"Mannheim, Germany"	https://www.phoenixgroup.eu
413	Travelers Cos.	"$30,282.00 "	4.80%	"$2,523.00 "	"$104,233.00 "	22.70%	"30,400"	-6	https://fortune.com/global500/2019/travelers-cos	U.S.	Financials	Insurance: Property and Casualty (Stock)	Alan D. Schnitzer	New York City	https://www.travelers.com
414	Gree Electrical Appliances	"$30,239.40 "	36.20%	"$3,961.30 "	"$36,592.70 "	19.50%	"88,800"	-	https://fortune.com/global500/2019/gree-electrical-appliances	China	Industrials	"Electronics, Electrical Equip."	Dong Mingzhu	"Zhuhai, China"	https://www.gree.com
415	Coop Group	"$30,235.40 "	5.70%	$483.70 	"$20,665.70 "	-1.80%	"77,448"	-3	https://fortune.com/global500/2019/coop-group	Switzerland	Food & Drug Stores	Food and Drug Stores	Joos Sutter	"Basel, Switzerland"	https://www.coop.ch
416	Northrop Grumman	"$30,095.00 "	16.60%	"$3,229.00 "	"$37,653.00 "	60.20%	"85,000"	45	https://fortune.com/global500/2019/northrop-grumman	U.S.	Aerospace & Defense	Aerospace and Defense	Kathy J. Warden	"Falls Church, Va."	https://www.northropgrumman.com
417	Suncor Energy	"$30,081.40 "	21.30%	"$2,540.90 "	"$65,596.80 "	-26%	"12,480"	59	https://fortune.com/global500/2019/suncor-energy	Canada	Energy	Petroleum Refining	Mark S. Little	"Calgary, Alberta, Canada"	https://www.suncor.com
418	Manulife Financial	"$30,070.60 "	-33.10%	"$3,703.70 "	"$549,407.60 "	128.40%	"34,000"	-177	https://fortune.com/global500/2019/manulife-financial	Canada	Financials	"Insurance: Life, Health (stock)"	Roy Gori	"Toronto, Ontario, Canada"	https://www.manulife.com
419	Medtronic	"$29,953.00 "	0.80%	"$3,104.00 "	"$91,393.00 "	-22.90%	"98,003"	-23	https://fortune.com/global500/2019/medtronic	Ireland	Health Care	Medical Products and Equipment	Omar S. Ishrak	Dublin	https://www.medtronic.com
420	Kansai Electric Power	"$29,832.50 "	5.50%	"$1,037.90 "	"$65,576.60 "	-24.30%	"32,597"	-	https://fortune.com/global500/2019/kansai-electric-power	Japan	Energy	Utilities	Shigeki Iwane	"Osaka, Japan"	https://www.kepco.co.jp
421	Arrow Electronics	"$29,676.80 "	10.70%	$716.20 	"$17,784.40 "	78.20%	"20,100"	19	https://fortune.com/global500/2019/arrow-electronics	U.S.	Wholesalers	Wholesalers: Electronics and Office Equipment	Michael J. Long	"Centennial, Colo."	https://www.arrow.com
422	Philip Morris International	"$29,625.00 "	3.10%	"$7,911.00 "	"$39,801.00 "	31.10%	"77,400"	-11	https://fortune.com/global500/2019/philip-morris-international	U.S.	"Food, Beverages & Tobacco"	Tobacco	Andr茅 Calantzopoulos	New York City	https://www.pmi.com
423	Koç Holding	"$29,592.30 "	9.20%	"$1,143.80 "	"$23,570.70 "	-15%	"92,631"	12	https://fortune.com/global500/2019/koc-holding	Turkey	Energy	Energy	Levent 脟akiroglu	Istanbul	https://www.koc.com.tr
424	Wistron	"$29,509.50 "	7.40%	$162.80 	"$11,032.70 "	27.50%	"82,955"	8	https://fortune.com/global500/2019/wistron	Taiwan	Technology	"Computers, Office Equipment"	Simon Lin	Taipei	https://www.wistron.com
425	UniCredit Group	"$29,332.30 "	0.30%	"$4,593.70 "	"$950,368.80 "	-25.50%	"86,786"	-23	https://fortune.com/global500/2019/unicredit-group	Italy	Financials	Banks: Commercial and Savings	Jean Pierre Mustier	Milan	https://www.unicreditgroup.eu
426	Samsung Life Insurance	"$29,305.80 "	3.70%	"$1,512.90 "	"$259,413.50 "	46.70%	"5,420"	-5	https://fortune.com/global500/2019/samsung-life-insurance	South Korea	Financials	"Insurance: Life, Health (stock)"	Sung-Chul Hyun	Seoul	https://www.samsunglife.com
427	SAP	"$29,159.60 "	10.30%	"$4,818.60 "	"$58,854.20 "	6.40%	"96,498"	19	https://fortune.com/global500/2019/sap	Germany	Technology	Computer Software	William R. McDermott	"Walldorf, Germany"	https://www.sap.com
428	La Poste	"$29,149.00 "	7.30%	$941.80 	"$298,904.80 "	-1.80%	"233,076"	6	https://fortune.com/global500/2019/la-poste	France	Transportation	"Mail, Package, and Freight Delivery"	Philippe Wahl	Paris	https://www.groupelaposte.com
429	Northwestern Mutual	"$29,124.00 "	-0.70%	$783 	"$272,167.00 "	-23%	"5,870"	-28	https://fortune.com/global500/2019/northwestern-mutual	U.S.	Financials	"Insurance: Life, Health (Mutual)"	John E. Schlifske	Milwaukee	https://www.northwesternmutual.com
430	Naturgy Energy Group	"$29,123.00 "	5.30%	"($3,330.40)"	"$46,441.20 "	-317.20%	"13,945"	-1	https://fortune.com/global500/2019/gas-natural-fenosa	Spain	Energy	Utilities	Francisco Reyn茅s Massanet	Madrid	https://www.naturgy.com
431	Migros Group	"$29,098.20 "	2%	$511.30 	"$67,587.80 "	-2.50%	"79,913"	-16	https://fortune.com/global500/2019/migros-group	Switzerland	Food & Drug Stores	Food and Drug Stores	Fabrice Zumbrunnen	Zurich	https://www.migros.ch
432	Danone	"$29,092.30 "	4.60%	"$2,772.20 "	"$50,494.30 "	0.30%	"105,783"	-6	https://fortune.com/global500/2019/danone	France	"Food, Beverages & Tobacco"	Food Consumer Products	Emmanuel Faber	Paris	https://www.danone.com
433	Westpac Banking	"$29,027.90 "	1.60%	"$6,151.50 "	"$636,296.90 "	1.10%	"35,029"	-19	https://fortune.com/global500/2019/westpac-banking	Australia	Financials	Banks: Commercial and Savings	Brian C. Hartzer	Sydney	https://www.westpac.com.au
434	KB Financial Group	"$29,000.90 "	15.80%	"$2,782.50 "	"$429,854.20 "	-5%	"27,040"	37	https://fortune.com/global500/2019/kb-financial-group	South Korea	Financials	Banks: Commercial and Savings	Jong Kyoo Yoon	Seoul	https://www.kbfg.com
435	International Airlines Group	"$28,803.20 "	11.20%	"$3,404.80 "	"$32,042.90 "	51%	"64,734"	25	https://fortune.com/global500/2019/international-airlines-group	Britain	Transportation	Airlines	Willie Walsh	"Harmondsworth, Britain"	https://www.iairgroup.com
436	Medipal Holdings	"$28,698.50 "	1.10%	$309.90 	"$14,619.20 "	-1.30%	"15,623"	-18	https://fortune.com/global500/2019/medipal-holdings	Japan	Health Care	Wholesalers: Health Care	Shuichi Watanabe	Tokyo	https://www.medipal.co.jp
437	Sumitomo Electric Industries	"$28,662.90 "	3%	"$1,064.80 "	"$27,588.90 "	-2%	"272,796"	-12	https://fortune.com/global500/2019/sumitomo-electric-industries	Japan	Motor Vehicles & Parts	Motor Vehicles and Parts	Masayoshi Matsumoto	"Osaka, Japan"	https://www.global-sei.com
438	China Datang	"$28,654.90 "	13.30%	$323.40 	"$108,633.20 "	-5.40%	"93,800"	30	https://fortune.com/global500/2019/china-datang	China	Energy	Energy	Chen Feihu	Beijing	https://www.china-cdt.com
439	Xinjiang Guanghui Industry Investment	"$28,564.00 "	9.40%	$137 	"$38,415.20 "	321.80%	"82,175"	17	https://fortune.com/global500/2019/xinjiang-guanghui-industry-investment	China	Wholesalers	Trading	Shang Jiqiang	"Urumqi, China"	https://www.guanghui.com
440	Subaru	"$28,505.40 "	-7.30%	"$1,333.10 "	"$26,951.50 "	-33%	"34,200"	-56	https://fortune.com/global500/2019/subaru	Japan	Motor Vehicles & Parts	Motor Vehicles and Parts	Tomomi Nakamura	Tokyo	https://www.subaru.co.jp
441	Anhui Conch Group	"$28,499.00 "	144.10%	"$1,628.90 "	"$27,967.90 "	92.10%	"55,380"	-	https://fortune.com/global500/2019/anhui-conch-group	China	Materials	"Building Materials, Glass"	Gao Dengbang	"Wuhu, China"	https://www.chinaconch.com
442	Huaxia Life Insurance	"$28,492.80 "	87.40%	$398.80 	"$74,401.50 "	-33.90%	"500,000"	-	https://fortune.com/global500/2019/huaxia-life-insurance	China	Financials	"Insurance: Life, Health (Mutual)"	Zhao Ziliang	Beijing	https://www.hualife.cc
443	CFE	"$28,457.10 "	9%	"$2,322.30 "	"$84,234.70 "	-59.30%	"91,369"	11	https://fortune.com/global500/2019/cfe	Mexico	Energy	Utilities	Manuel Bartlett D铆az	Mexico City	https://www.cfe.gob.mx
444	Samsung C&T	"$28,319.40 "	9.30%	"$1,556.90 "	"$38,009.00 "	175.10%	"17,274"	14	https://fortune.com/global500/2019/samsung-ct	South Korea	Wholesalers	Trading	Jung-Suk Koh /Young-Ho Lee	Seoul	https://www.samsungcnt.com
445	Adecco Group	"$28,167.10 "	5.60%	$540.50 	"$11,107.70 "	-39.10%	"34,000"	-4	https://fortune.com/global500/2019/adecco-group	Switzerland	Business Services	Diversified Outsourcing Services	Alain Dehaze	Zurich	https://www.adeccogroup.com
446	Randstad	"$28,102.20 "	7.10%	$830.80 	"$11,359.10 "	16.70%	"38,820"	4	https://fortune.com/global500/2019/randstad-holding	Netherlands	Business Services	Diversified Outsourcing Services	Jacques van den Broek	"Diemen, Netherlands"	https://www.randstad.com
447	LafargeHolcim	"$28,088.80 "	5.80%	"$1,536.10 "	"$60,579.50 "	-	"77,055"	-3	https://fortune.com/global500/2019/lafargeholcim	Switzerland	Materials	"Building Materials, Glass"	Jan Jenisch	"Jona, Switzerland"	https://www.lafargeholcim.com
448	Haier Smart Home	"$27,713.60 "	17.60%	"$1,124.80 "	"$24,280.10 "	9.80%	"87,447"	51	https://fortune.com/global500/2019/qingdao-haier	China	Industrials	"Electronics, Electrical Equip."	Liang Haishan	"Qingdao, China"	https://www.haier.net/en
449	INTL FCStone	"$27,622.70 "	-6.10%	$55.50 	"$7,824.70 "	767.20%	"1,701"	-49	https://fortune.com/global500/2019/intl-fcstone	U.S.	Financials	Diversified Financials	Sean M. O'Connor	New York City	https://www.intlfcstone.com
450	Anglo American	"$27,610.00 "	5.20%	"$3,549.00 "	"$52,196.00 "	12.10%	"64,000"	-1	https://fortune.com/global500/2019/anglo-american	Britain	Energy	"Mining, Crude-Oil Production"	Mark Cutifani	London	https://www.angloamerican.com
451	China Taiping Insurance Group	"$27,485.80 "	7.40%	$434 	"$96,189.10 "	-3.40%	"75,341"	14	https://fortune.com/global500/2019/china-taiping-insurance-group	China	Financials	"Insurance: Life, Health (Mutual)"	Luo Xi	Hong Kong	https://www.cntaiping.com
452	Mapfre Group	"$27,423.50 "	2.30%	$624.10 	"$76,913.40 "	-21%	"35,390"	-13	https://fortune.com/global500/2019/mapfre-group	Spain	Financials	Insurance: Property and Casualty (Stock)	Antonio Huertas Mej?as	Madrid	https://www.mapfre.com
453	Chubu Electric Power	"$27,374.10 "	6.30%	$716.30 	"$54,102.50 "	6.70%	"30,321"	9	https://fortune.com/global500/2019/chubu-electric-power	Japan	Energy	Utilities	Satoru Katsuno	"Nagoya, Japan"	https://www.chuden.co.jp
454	PBF Energy	"$27,186.10 "	24.80%	$128.30 	"$8,005.40 "	-69.10%	"3,266"	-	https://fortune.com/global500/2019/pbf-energy	U.S.	Energy	Petroleum Refining	Thomas J. Nimbley	"Parsippany, N.J."	https://www.pbfenergy.com
455	Cathay Life Insurance	"$27,183.40 "	-5.60%	"$1,001.50 "	"$207,944.90 "	-16%	"38,694"	-45	https://fortune.com/global500/2019/cathay-life-insurance	Taiwan	Financials	"Insurance: Life, Health (stock)"	Ming-Ho Hsiung	Taipei	https://www.cathaylife.com.tw
456	Financière de l'Odet	"$27,172.70 "	31.50%	$144.10 	"$61,194.70 "	-65.40%	"81,003"	-	https://fortune.com/global500/2019/financiere-de-lodet	France	Media	Entertainment	Vincent Bollor茅	Paris	https://www.financiere-odet.com/fr-fr
457	Australia & New Zealand Banking Group	"$27,147.90 "	3.30%	"$4,863.40 "	"$681,894.20 "	-0.30%	"39,924"	-9	https://fortune.com/global500/2019/australia-new-zealand-banking-group	Australia	Financials	Banks: Commercial and Savings	Shayne Elliott	"Docklands, Australia"	https://www.anz.com
458	East Japan Railway	"$27,076.10 "	1.70%	"$2,662.60 "	"$75,537.00 "	2.10%	"85,718"	-15	https://fortune.com/global500/2019/east-japan-railway	Japan	Transportation	Railroads	Yuki Fukasawa	Tokyo	https://www.jreast.co.jp
459	OMV Group	"$27,061.30 "	18.70%	"$1,789.10 "	"$42,246.40 "	195%	"20,231"	-	https://fortune.com/global500/2019/omv-group	Austria	Energy	Petroleum Refining	Rainer Seele	Vienna	https://www.omv.com
